date,tariff,item,commodity,primary_class,railroad,origin,origin_city,origin_state,destination,destination_city,destination_state,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,car_volume_cubic_feet,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile
2023-04-15,4022,39010.0,Corn,N/A,BNSF,"Greenwood (Mendota), IL",Greenwood,IL,"Hereford, TX",Hereford,TX,935.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.0241,43.1033,39.1036,0.0418
2023-04-15,4022,39010.0,Corn,N/A,BNSF,"Hancock, IA",Hancock,IA,"Plainview, TX",Plainview,TX,832.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,0,"286,000",>=5001,1.1755,48.7547,44.2306,0.0532
2023-04-15,4022,39010.0,Corn,N/A,BNSF,"Phelps (Rock Port), MO",Phelps,MO,"Clovis, NM",Clovis,NM,764.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.0847,44.9772,40.8036,0.0534
2023-04-15,4022,39010.0,Corn,N/A,BNSF,"Phelps (Rock Port), MO",Phelps,MO,"Texas Gulf (Houston, TX)",Houston,TX,937.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.0191,42.9106,38.9288,0.0415
2023-04-15,4022,39013.0,Corn,N/A,BNSF,"Selby, SD",Selby,SD,"PNW (Seattle, WA)",Seattle,WA,1419.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.4076,59.6395,54.1054,0.0381
2023-04-15,4022,39013.0,Corn,N/A,BNSF,"St. Cloud, MN",St. Cloud,MN,"PNW (Seattle, WA)",Seattle,WA,1666.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",>=5001,1.4076,60.3754,54.773,0.0329
2023-04-15,4022,39010.0,Corn,N/A,BNSF,"Waverly, IL",Waverly,IL,"Dexter, NM",Dexter,NM,1058.0,Shuttle/Direct DET,110,120.0,Railroad/Private,0,0,"286,000",>=5001,1.0544,44.6614,40.5171,0.0383
2023-04-15,4032,1182.0,Corn,N/A,CPKC,"Delhi, LA",Delhi,LA,"Morton, MS",Morton,MS,120.0,Unit,100,,Railroad/Private,0,1,,>=5000,0.331,13.708,12.436,0.1036
2023-04-15,4444,45646.0,Corn,N/A,CPKC,"Enderlin, ND",Enderlin,ND,"Kalama, WA",Kalama,WA,1617.0,Unit,110,110.0,Railroad/Private,0,1,,>=5000,1.311,58.3128,52.9018,0.0327
2023-04-15,4444,45558.0,Corn,N/A,CPKC,"Glenwood, MN",Glenwood,MN,"Boardman, OR",Boardman,OR,1556.0,Unit,110,110.0,Railroad/Private,0,1,,>=5000,1.3024,57.7222,52.366,0.0337
2023-04-15,4315,,Corn,N/A,CSX,"Haw Creek (Ladoga), IN",Haw Creek,IN,"Ozark, AL",Ozark,AL,707.0,Unit,90,90.0,Railroad/Private,0,1,,>=5000,1.4361,56.5343,51.2883,0.0725
2023-04-15,4315,,Corn,N/A,CSX,"Marysville, OH",Marysville,OH,"Rose Hill, NC",Rose Hill,NC,781.0,Unit,90,90.0,Railroad/Private,0,1,,>=5000,1.4744,58.0437,52.6577,0.0674
2023-04-15,4315,,Corn,N/A,CSX,"Olney, IL",Olney,IL,"Fairmount, GA",Fairmount,GA,496.0,Unit,90,90.0,Railroad/Private,0,1,,>=5000,1.1296,44.4687,40.3423,0.0813
2023-04-15,4051,2215.0,Corn,N/A,UP,"Allen Station (San Jose), IL",Allen,IL,"Pittsburg, TX",Pittsburg,TX,691.0,Shuttle,107,,Railroad/Private,0,1,"286,000",,0.9157,39.2728,35.6286,0.0516
2023-04-15,4051,2300.0,Corn,N/A,UP,"Mead, NE",Mead,NE,"Keyes, CA",Keyes,CA,1737.0,Shuttle,107,,Railroad/Private,0,1,"286,000",,1.4404,64.8102,58.7963,0.0338
2023-04-15,4051,2215.0,Corn,N/A,UP,"Nebraska City, NE",Nebraska City,NE,"Amarillo, TX",Amarillo,TX,714.0,Shuttle,107,,Railroad/Private,0,1,"286,000",,1.1477,48.5162,44.0142,0.0616
2023-04-15,4022,69105.0,Soybeans,N/A,BNSF,"Argyle, MN",Argyle,MN,"PNW (Seattle, WA)",Seattle,WA,1528.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.7027,67.1142,60.8865,0.0398
2023-04-15,4022,69105.0,Soybeans,N/A,BNSF,"Argyle, MN",Argyle,MN,"Texas Gulf (Houston, TX)",Houston,TX,1634.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.7568,69.4161,62.9748,0.0385
2023-04-15,4022,69105.0,Soybeans,N/A,BNSF,"Casselton, ND",Casselton,ND,"PNW (Seattle, WA)",Seattle,WA,1469.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.6892,66.4419,60.2766,0.041
2023-04-15,4022,69902.0,Soybeans,N/A,BNSF,"Casselton, ND",Casselton,ND,"St. Louis, MO",St. Louis,MO,855.0,Shuttle,110,120.0,Railroad,0,1,"286,000",>=5001,1.1622,45.2483,41.0495,0.048
2023-04-15,4022,69105.0,Soybeans,N/A,BNSF,"Concordia, KS",Concordia,KS,"Texas Gulf (Houston, TX)",Houston,TX,742.0,Shuttle,110,120.0,Railroad,0,0,"286,000",>=5001,1.2838,49.3803,44.7982,0.0604
