date,railroad,tariff,item,commodity,primary_class,origin_city,origin_state,origin,destination_city,destination_state,destination,route_mileage,train_type,min_number_of_cars,max_number_of_cars,car_ownership,rule_11_rate,gtr_table,maximum_load_pounds,tariff_per_car,tariff_per_bushel,tariff_per_metric_ton,tariff_per_short_ton,tariff_per_ton_mile,fsc_per_mile,fsc_per_car,tariff_fsc_per_car,tariff_fsc_per_bushel,tariff_fsc_per_metric_ton,tariff_fsc_per_short_ton,tariff_fsc_per_ton_mile,car_volume_cubic_feet
2022-02-15,BNSF,4022,47321.0,Wheat,HRW,Wichita,KS,"Wichita, KS",Birmingham,AL,"Birmingham, AL",864.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",3941,1.0651,39.136,35.5045,0.0411,0.1,86.4,4027.4,1.0651,39.994,36.2829,0.042,
2022-02-15,BNSF,4022,47321.0,Wheat,HRW,Wichita,KS,"Wichita, KS",Chicago,IL,"Chicago, IL",633.0,DET,110,120.0,Railroad/Private,1,1,"286,000",4067,1.0992,40.3873,36.6396,0.0579,0.1,63.3,4130.3,1.0992,41.0159,37.2099,0.0588,
2022-02-15,BNSF,4022,46307.0,Wheat,HRW,Wichita,KS,"Wichita, KS",Houston,TX,"Texas Gulf (Houston, TX)",638.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4411,1.1922,43.8034,39.7387,0.0623,0.1,63.8,4474.8,1.1922,44.4369,40.3135,0.0632,
2022-02-15,BNSF,4022,45700.0,Wheat,HRW/HRS,West Bowdle,SD,"Bowdle, SD",Chicago,IL,"Chicago, IL",772.0,DET,110,120.0,Railroad/Private,1,1,"286,000",4441,1.2003,44.1013,40.009,0.0518,0.1,77.2,4518.2,1.2003,44.8679,40.7045,0.0527,
2022-02-15,BNSF,4022,43910.0,Wheat,HRW/HRS,Conrad,MT,"Conrad, MT",Seattle,WA,"PNW (Seattle, WA)",758.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",4089,1.1051,40.6058,36.8378,0.0486,0.1,75.8,4164.8,1.1051,41.3585,37.5207,0.0495,
2022-02-15,BNSF,4022,43591.0,Wheat,SW,Templin,WA,"Templin (Ritzville), WA",Seattle,WA,"PNW (Seattle, WA)",333.0,Shuttle,110,120.0,Railroad/Private,0,1,"286,000",1932,0.5222,19.1857,17.4054,0.0523,0.1,33.3,1965.3,0.5222,19.5164,17.7054,0.0532,
2022-03-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Indiantown,FL,"Indiantown, FL",1379.0,Manifest,1,89.0,Railroad,1,1,,7822,2.1141,77.6763,70.4685,0.0511,0.0,0.0,7822.0,2.1141,77.6763,70.4685,0.0511,5000
2022-03-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Indiantown,FL,"Indiantown, FL",1379.0,Manifest,1,89.0,Private,1,0,,7492,2.0249,74.3992,67.4955,0.0489,0.0,0.0,7492.0,2.0249,74.3992,67.4955,0.0489,5000
2022-03-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Albany,NY,"Albany, NY",811.0,Unit,90,90.0,Railroad/Private,1,1,,6670,1.8027,66.2363,60.0901,0.0741,0.0,0.0,6670.0,1.8027,66.2363,60.0901,0.0741,5000
2022-03-15,CSX,4315,,Wheat,All,Chicago,IL,"Chicago, IL",Albany,NY,"Albany, NY",811.0,Manifest,1,89.0,Railroad,1,1,,7605,2.0554,75.5214,68.5135,0.0845,0.0,0.0,7605.0,2.0554,75.5214,68.5135,0.0845,5000
